/red/mavros/global_position/local/pose/pose/position/x_x,/red/mavros/global_position/local/pose/pose/position/x_y,/red/mavros/global_position/local/pose/pose/position/y_x,/red/mavros/global_position/local/pose/pose/position/y_y,/red/mavros/global_position/local/pose/pose/position/z_x,/red/mavros/global_position/local/pose/pose/position/z_y
644.1970000000,5.9897544377,644.2170000000,6.0361026266,644.2170000000,1.591
644.2170000000,5.9897544377,644.2450000000,6.0361026169,644.2450000000,1.586
644.2450000000,5.9897544284,644.2600000000,6.0361026169,644.2600000000,1.58
644.2600000000,5.9897544284,644.2780000000,6.0361026071,644.2780000000,1.575
644.2780000000,5.9897544187,644.2970000000,6.0361026071,644.2970000000,1.575
644.2970000000,5.9897544187,644.3170000000,6.0361026071,644.3170000000,1.575
644.3170000000,5.9897544187,644.338,6.0361026071,644.338,1.575
644.338,5.9897544187,644.3580000000,6.0361026071,644.3580000000,1.575
644.3580000000,5.9897544187,644.3780000000,6.0361026071,644.3780000000,1.575
644.3780000000,5.9897544187,644.3980000000,6.0361026071,644.3980000000,1.575
644.3980000000,5.9897544187,644.4160000000,6.0361026071,644.4160000000,1.575
